[TableName],[TableID],[MeasureName],[MetricFamilyGuess],[Description],[DisplayFolder],[FormatString],[DataType],[IsHidden],[IsVisible],[MeasureExpression],[ModifiedTime],[StructureModifiedTime]
Metrics,43,Bottler Gross Revenue AC (LC),RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,SUM('Metrics-Actuals-Rev'[btlr_gross_rev_amt]),2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) % vs 2PY (CD),RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00 %;-#,0.00 %;#,0.00 %",8,False,True,"IF(([Bottler Gross Revenue AC (LC)] &&[Consumption Days] && [Bottler Gross Revenue AC (LC) 2PY] &&[Consumption Days 2PY])<>BLANK(),(DIVIDE( DIVIDE([Bottler Gross Revenue AC (LC)],[Consumption Days]),DIVIDE([Bottler Gross Revenue AC (LC) 2PY],[Consumption Days 2PY]))-1),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) % vs BP V1,BP / Plan,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00 %;-#,0.00 %;#,0.00 %",8,False,True,"IF(([Bottler Gross Revenue AC (LC)]&&[Bottler Gross Revenue BP V1 (LC)])<>BLANK(),(DIVIDE( [Bottler Gross Revenue AC (LC)],[Bottler Gross Revenue BP V1 (LC)]) -1),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) % vs PY (CD),RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00 %;-#,0.00 %;#,0.00 %",8,False,True,"IF(([Bottler Gross Revenue AC (LC)] && [Consumption Days] && [Bottler Gross Revenue AC (LC) PY] && [Consumption Days PY])<>BLANK(),(DIVIDE( DIVIDE( [Bottler Gross Revenue AC (LC)],[Consumption Days]),DIVIDE([Bottler Gross Revenue AC (LC) PY],[Consumption Days PY]))-1),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) 2PY,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,"IF (
    ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),
    IF(HASONEVALUE(Period[day_dt]), CALCULATE ( [Bottler Gross Revenue AC (LC)], FILTER(ALL ( 'Period' ), Period[day_dt] = VALUES(Period[c445_2py_day_dt]) ) ),BLANK()),
    IF (
        ISFILTERED(Period[Year 445]) || ISFILTERED(Period[Year 445 Code]) || ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code])
            || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code])
            || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]),
        CALCULATE (
            [Bottler Gross Revenue AC (LC)],
            FILTER (
                ALL ( 'Period' ),
                Period[Year 445 Code Sort]
                    = IF (
                        HASONEVALUE ( Period[Year 445 Code Sort]),
                        VALUES ( Period[Year 445 Code Sort]) - 2,
                        BLANK ()
                    )
                    && CONTAINS (
                        VALUES ( Period[Week 445 #]),
                        Period[Week 445 #], Period[Week 445 #]
                    )
            )
        ),
        IF (
            (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code]))
                && MONTH ( VALUES ( Period[day_dt]) ) = 2
                && DAY ( VALUES ( Period[day_dt]) ) = 29,
            BLANK (),
            IF (
                (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),
                CALCULATE (
                    [Bottler Gross Revenue AC (LC)],
                    FILTER (
                        ALL ( 'Period' ),
                        Period[Year Cal Code Sort]
                            = IF (
                                HASONEVALUE ( Period[Year Cal Code Sort]),
                                VALUES ( Period[Year Cal Code Sort]) - 2,
                                BLANK ()
                            )
                            && Period[greg_month_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_nbr]),
                                    VALUES ( Period[greg_month_nbr]),
                                    BLANK ()
                                )
                            && Period[greg_month_day_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_day_nbr]),
                                    VALUES ( Period[greg_month_day_nbr]),
                                    BLANK ()
                                )
                    )
                ),
                IF (
                    ISFILTERED(Period[Year Cal]) || ISFILTERED(Period[Year Cal Code]) || ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code])
                        || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]),
                    CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (
                            ALL ( 'Period' ),
                            Period[Year Cal Code Sort]
                                = IF (
                                    HASONEVALUE ( Period[Year Cal Code Sort]),
                                    VALUES ( Period[Year Cal Code Sort]) - 2,
                                    BLANK ()
                                )
                                && CONTAINS (
                                    VALUES ( Period[greg_month_nbr]),
                                    Period[greg_month_nbr], Period[greg_month_nbr]
                                )
                        )
                    )
                )
            )
        )
    )
)",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) Cycling (CD),RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00 %;-#,0.00 %;#,0.00 %",8,False,True,"IF(([Bottler Gross Revenue AC (LC) PY] && [Consumption Days PY] && [Bottler Gross Revenue AC (LC) 2PY]&&[Consumption Days 2PY])<>BLANK(),(DIVIDE(DIVIDE([Bottler Gross Revenue AC (LC) PY],[Consumption Days PY]),DIVIDE([Bottler Gross Revenue AC (LC) 2PY],[Consumption Days 2PY])) -1),BLANK())",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) PY,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,"IF (
    ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),
    IF(HASONEVALUE(Period[day_dt]), CALCULATE ( [Bottler Gross Revenue AC (LC)], FILTER(ALL ( 'Period' ), Period[day_dt] = VALUES(Period[c445_1py_day_dt]) ) ),BLANK()),
    IF (
        ISFILTERED(Period[Year 445]) || ISFILTERED(Period[Year 445 Code]) || ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code])
            || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code])
            || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]),
        CALCULATE (
            [Bottler Gross Revenue AC (LC)],
            FILTER (
                ALL ( 'Period' ),
                Period[Year 445 Code Sort]
                    = IF (
                        HASONEVALUE ( Period[Year 445 Code Sort]),
                        VALUES ( Period[Year 445 Code Sort]) - 1,
                        BLANK ()
                    )
                    && CONTAINS (
                        VALUES ( Period[Week 445 #]),
                        Period[Week 445 #], Period[Week 445 #]
                    )
            )
        ),
        IF (
            (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code]))
                && MONTH ( VALUES ( Period[day_dt]) ) = 2
                && DAY ( VALUES ( Period[day_dt]) ) = 29,
            BLANK (),
            IF (
                (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),
                CALCULATE (
                    [Bottler Gross Revenue AC (LC)],
                    FILTER (
                        ALL ( 'Period' ),
                        Period[Year Cal Code Sort]
                            = IF (
                                HASONEVALUE ( Period[Year Cal Code Sort]),
                                VALUES ( Period[Year Cal Code Sort]) - 1,
                                BLANK ()
                            )
                            && Period[greg_month_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_nbr]),
                                    VALUES ( Period[greg_month_nbr]),
                                    BLANK ()
                                )
                            && Period[greg_month_day_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_day_nbr]),
                                    VALUES ( Period[greg_month_day_nbr]),
                                    BLANK ()
                                )
                    )
                ),
                IF (
                    ISFILTERED(Period[Year Cal]) || ISFILTERED(Period[Year Cal Code]) || ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code])
                        || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]),
                    CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (
                            ALL ( 'Period' ),
                            Period[Year Cal Code Sort]
                                = IF (
                                    HASONEVALUE ( Period[Year Cal Code Sort]),
                                    VALUES ( Period[Year Cal Code Sort]) - 1,
                                    BLANK ()
                                )
                                && CONTAINS (
                                    VALUES ( Period[greg_month_nbr]),
                                    Period[greg_month_nbr], Period[greg_month_nbr]
                                )
                        )
                    )
                )
            )
        )
    )
)",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) vs 2PY,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,[Bottler Gross Revenue AC (LC)]- [Bottler Gross Revenue AC (LC) 2PY],2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) vs PY,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,[Bottler Gross Revenue AC (LC)]-[Bottler Gross Revenue AC (LC) PY],2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (USD),RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,"#,0.00",8,False,True,"SUMX('Metrics-Actuals-Rev','Metrics-Actuals-Rev'[btlr_gross_rev_amt] * RELATED(CurrencyRate[USD]))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) MTD,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) MTD % vs Current RE,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0.00%;-#,0.00%;#,0.00%",8,False,True,"IF (
    ( [Bottler Gross Revenue AC (LC) MTD]
        && [Bottler Gross Revenue Current RE (LC) MTD] )
        <> BLANK (),
    (
        DIVIDE (
            [Bottler Gross Revenue AC (LC) MTD],
            [Bottler Gross Revenue Current RE (LC) MTD]
        ) - 1
    ),
    BLANK ()
)",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) MTD % vs Official BP,BP / Plan,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0.00%;-#,0.00%;#,0.00%",8,False,True,"IF (
    ( [Bottler Gross Revenue AC (LC) MTD]
        && [Bottler Gross Revenue Official BP (LC) MTD] )
        <> BLANK (),
    (
        DIVIDE (
            [Bottler Gross Revenue AC (LC) MTD],
            [Bottler Gross Revenue Official BP (LC) MTD]
        ) - 1
    ),
    BLANK ()
)",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) MTD vs Current RE,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0",8,False,True,[Bottler Gross Revenue AC (LC) MTD]-[Bottler Gross Revenue Current RE (LC) MTD],2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (LC) MTD vs Official BP,BP / Plan,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0",8,False,True,[Bottler Gross Revenue AC (LC) MTD]-[Bottler Gross Revenue Official BP (LC) MTD],2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (USD) MTD,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0.00",8,False,True,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Revenue AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Revenue AC (USD)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))",2026-02-26 06:36:26,2025-12-02 10:00:02
Metrics,43,Bottler Gross Revenue AC (USD) MTD % vs Current RE,RE / Estimate,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,"#,0.00%;-#,0.00%;#,0.00%",8,False,True,"IF (
    ISFILTERED ( Period[Day 445] ) || ISFILTERED ( Period[Day 445 Code] )
        || ( ISFILTERED ( Period[Day Cal] ) || ISFILTERED ( Period[Day Cal Code] ) )
        || ISFILTERED ( Period[Week 445] )
        || ISFILTERED ( Period[Week 445 Code] )
        || ISFILTERED ( Period[Month Cal] )
        || ISFILTERED ( Period[Month Cal Code] )
        || ISFILTERED ( Period[Quarter Cal] )
        || ISFILTERED ( Period[Quarter Cal Code] )
        || ISFILTERED ( Period[Year Cal] )
        || ISFILTERED ( Period[Year Cal Code] )
        || ISFILTERED ( Period[Half Cal] )
        || ISFILTERED ( Period[Half Cal Code] )
            && ( [Bottler Gross Revenue AC vs Current RE CN (USD) MTD]
                && [Bottler Gross Revenue Current RE (USD) MTD] )
                <> BLANK (),
    DIVIDE (
        [Bottler Gross Revenue AC vs Current RE CN (USD) MTD],
        [Bottler Gross Revenue Current RE (USD) MTD]
    ) - 1,
    BLANK ()
)",2026-02-26 06:36:26,2025-12-02 10:00:02
