[ID],[TableID],[Name],[Description],[DataType],[Expression],[FormatString],[IsHidden],[State],[ModifiedTime],[StructureModifiedTime],[KPIID],[IsSimpleMeasure],[ErrorMessage],[DisplayFolder],[DetailRowsDefinitionID],[DataCategory],[LineageTag],[SourceLineageTag]
2061,43,Bottler Gross Revenue AC (LC),,8,SUM('Metrics-Actuals-Rev'[btlr_gross_rev_amt]),"#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,5d926e98-f8da-4204-8282-ca5392762591,
2062,43,Bottler Gross Revenue AC (LC) % vs 2PY (CD),,8,"IF(([Bottler Gross Revenue AC (LC)] &&[Consumption Days] && [Bottler Gross Revenue AC (LC) 2PY] &&[Consumption Days 2PY])<>BLANK(),(DIVIDE( DIVIDE([Bottler Gross Revenue AC (LC)],[Consumption Days]),DIVIDE([Bottler Gross Revenue AC (LC) 2PY],[Consumption Days 2PY]))-1),BLANK())","#,0.00 %;-#,0.00 %;#,0.00 %",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,675407b9-a9e9-4415-b7d5-0f80e9cbdf08,
2063,43,Bottler Gross Revenue AC (LC) % vs BP V1,,8,"IF(([Bottler Gross Revenue AC (LC)]&&[Bottler Gross Revenue BP V1 (LC)])<>BLANK(),(DIVIDE( [Bottler Gross Revenue AC (LC)],[Bottler Gross Revenue BP V1 (LC)]) -1),BLANK())","#,0.00 %;-#,0.00 %;#,0.00 %",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,7cf406e7-52dd-4e91-80cc-8ef1c770db1d,
2064,43,Bottler Gross Revenue AC (LC) % vs PY (CD),,8,"IF(([Bottler Gross Revenue AC (LC)] && [Consumption Days] && [Bottler Gross Revenue AC (LC) PY] && [Consumption Days PY])<>BLANK(),(DIVIDE( DIVIDE( [Bottler Gross Revenue AC (LC)],[Consumption Days]),DIVIDE([Bottler Gross Revenue AC (LC) PY],[Consumption Days PY]))-1),BLANK())","#,0.00 %;-#,0.00 %;#,0.00 %",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,25d0ccde-51aa-4a8d-8f0e-f5ad8df16f19,
2065,43,Bottler Gross Revenue AC (LC) 2PY,,8,"IF (
    ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),
    IF(HASONEVALUE(Period[day_dt]), CALCULATE ( [Bottler Gross Revenue AC (LC)], FILTER(ALL ( 'Period' ), Period[day_dt] = VALUES(Period[c445_2py_day_dt]) ) ),BLANK()),
    IF (
        ISFILTERED(Period[Year 445]) || ISFILTERED(Period[Year 445 Code]) || ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code])
            || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code])
            || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]),
        CALCULATE (
            [Bottler Gross Revenue AC (LC)],
            FILTER (
                ALL ( 'Period' ),
                Period[Year 445 Code Sort]
                    = IF (
                        HASONEVALUE ( Period[Year 445 Code Sort]),
                        VALUES ( Period[Year 445 Code Sort]) - 2,
                        BLANK ()
                    )
                    && CONTAINS (
                        VALUES ( Period[Week 445 #]),
                        Period[Week 445 #], Period[Week 445 #]
                    )
            )
        ),
        IF (
            (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code]))
                && MONTH ( VALUES ( Period[day_dt]) ) = 2
                && DAY ( VALUES ( Period[day_dt]) ) = 29,
            BLANK (),
            IF (
                (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),
                CALCULATE (
                    [Bottler Gross Revenue AC (LC)],
                    FILTER (
                        ALL ( 'Period' ),
                        Period[Year Cal Code Sort]
                            = IF (
                                HASONEVALUE ( Period[Year Cal Code Sort]),
                                VALUES ( Period[Year Cal Code Sort]) - 2,
                                BLANK ()
                            )
                            && Period[greg_month_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_nbr]),
                                    VALUES ( Period[greg_month_nbr]),
                                    BLANK ()
                                )
                            && Period[greg_month_day_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_day_nbr]),
                                    VALUES ( Period[greg_month_day_nbr]),
                                    BLANK ()
                                )
                    )
                ),
                IF (
                    ISFILTERED(Period[Year Cal]) || ISFILTERED(Period[Year Cal Code]) || ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code])
                        || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]),
                    CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (
                            ALL ( 'Period' ),
                            Period[Year Cal Code Sort]
                                = IF (
                                    HASONEVALUE ( Period[Year Cal Code Sort]),
                                    VALUES ( Period[Year Cal Code Sort]) - 2,
                                    BLANK ()
                                )
                                && CONTAINS (
                                    VALUES ( Period[greg_month_nbr]),
                                    Period[greg_month_nbr], Period[greg_month_nbr]
                                )
                        )
                    )
                )
            )
        )
    )
)","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,c8b19688-805e-4a16-b086-c0d7cca37061,
2066,43,Bottler Gross Revenue AC (LC) Cycling (CD),,8,"IF(([Bottler Gross Revenue AC (LC) PY] && [Consumption Days PY] && [Bottler Gross Revenue AC (LC) 2PY]&&[Consumption Days 2PY])<>BLANK(),(DIVIDE(DIVIDE([Bottler Gross Revenue AC (LC) PY],[Consumption Days PY]),DIVIDE([Bottler Gross Revenue AC (LC) 2PY],[Consumption Days 2PY])) -1),BLANK())","#,0.00 %;-#,0.00 %;#,0.00 %",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,3acb2df8-d5d3-477a-91d8-9a9ff1daeb83,
2067,43,Bottler Gross Revenue AC (LC) MTD,,8,"
IF(ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Month 445 #] = MAX(Period[Month 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF((ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_month_nbr] = MAX(Period[greg_month_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC MTD,,,b9efb9d6-a04a-4782-8193-d82edc63d076,
2068,43,Bottler Gross Revenue AC (LC) PY,,8,"IF (
    ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),
    IF(HASONEVALUE(Period[day_dt]), CALCULATE ( [Bottler Gross Revenue AC (LC)], FILTER(ALL ( 'Period' ), Period[day_dt] = VALUES(Period[c445_1py_day_dt]) ) ),BLANK()),
    IF (
        ISFILTERED(Period[Year 445]) || ISFILTERED(Period[Year 445 Code]) || ISFILTERED(Period[Quarter 445]) || ISFILTERED(Period[Quarter 445 Code])
            || ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code])
            || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]),
        CALCULATE (
            [Bottler Gross Revenue AC (LC)],
            FILTER (
                ALL ( 'Period' ),
                Period[Year 445 Code Sort]
                    = IF (
                        HASONEVALUE ( Period[Year 445 Code Sort]),
                        VALUES ( Period[Year 445 Code Sort]) - 1,
                        BLANK ()
                    )
                    && CONTAINS (
                        VALUES ( Period[Week 445 #]),
                        Period[Week 445 #], Period[Week 445 #]
                    )
            )
        ),
        IF (
            (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code]))
                && MONTH ( VALUES ( Period[day_dt]) ) = 2
                && DAY ( VALUES ( Period[day_dt]) ) = 29,
            BLANK (),
            IF (
                (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),
                CALCULATE (
                    [Bottler Gross Revenue AC (LC)],
                    FILTER (
                        ALL ( 'Period' ),
                        Period[Year Cal Code Sort]
                            = IF (
                                HASONEVALUE ( Period[Year Cal Code Sort]),
                                VALUES ( Period[Year Cal Code Sort]) - 1,
                                BLANK ()
                            )
                            && Period[greg_month_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_nbr]),
                                    VALUES ( Period[greg_month_nbr]),
                                    BLANK ()
                                )
                            && Period[greg_month_day_nbr]
                                = IF (
                                    HASONEVALUE ( Period[greg_month_day_nbr]),
                                    VALUES ( Period[greg_month_day_nbr]),
                                    BLANK ()
                                )
                    )
                ),
                IF (
                    ISFILTERED(Period[Year Cal]) || ISFILTERED(Period[Year Cal Code]) || ISFILTERED(Period[Quarter Cal]) || ISFILTERED(Period[Quarter Cal Code])
                        || ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]),
                    CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (
                            ALL ( 'Period' ),
                            Period[Year Cal Code Sort]
                                = IF (
                                    HASONEVALUE ( Period[Year Cal Code Sort]),
                                    VALUES ( Period[Year Cal Code Sort]) - 1,
                                    BLANK ()
                                )
                                && CONTAINS (
                                    VALUES ( Period[greg_month_nbr]),
                                    Period[greg_month_nbr], Period[greg_month_nbr]
                                )
                        )
                    )
                )
            )
        )
    )
)","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,e76d9774-40fa-4539-9e42-c6e98e86af65,
2069,43,Bottler Gross Revenue AC (LC) QTD,,8,"
IF(ISFILTERED(Period[Month 445]) || ISFILTERED(Period[Month 445 Code]) || ISFILTERED(Period[Week 445]) || ISFILTERED(Period[Week 445 Code]) || ISFILTERED(Period[Day 445]) || ISFILTERED(Period[Day 445 Code]),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[Quarter 445 #] = MAX(Period[Quarter 445 #])  && Period[day_id] <= MAX(Period[day_id]))))),IF(ISFILTERED(Period[Month Cal]) || ISFILTERED(Period[Month Cal Code]) || (ISFILTERED(Period[Day Cal]) || ISFILTERED(Period[Day Cal Code])),CALCULATE (
                        [Bottler Gross Revenue AC (LC)],
                        FILTER (ALL ( 'Period' ), Period[day_id] >=CALCULATE(MIN(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id])))  && Period[day_id] <= CALCULATE(MAX(Period[day_id]), FILTER(ALL('Period'),  
Period[Year 445 Code Sort] = MAX(Period[Year 445 Code Sort]) && Period[greg_quarter_nbr] = MAX(Period[greg_quarter_nbr])  && Period[day_id] <= MAX(Period[day_id]))))),BLANK()))","#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC QTD,,,8a3c9b05-02be-4063-ae3c-4f9a5597b45b,
2070,43,Bottler Gross Revenue AC (LC) vs 2PY,,8,[Bottler Gross Revenue AC (LC)]- [Bottler Gross Revenue AC (LC) 2PY],"#,0.00",False,1,2026-02-26 06:36:26,2025-12-02 10:00:02,,False,,Bottler Gross Revenue AC\Bottler Gross Revenue AC,,,8d240873-34bc-467b-bf10-1c1de8ca7d57,
